key	composer	category	title	catalog	year
Mendelssohn1841a	Felix Mendelssohn	Solo Piano	Variations sérieuses	Op. 54	1841
Mendelssohn1841b	Felix Mendelssohn	Piano Four-Hands	Andante and Allegro Brillant	Op. 92	1841
Messiaen1932a	Olivier Messiaen	Violin and Piano	Thème et Variations		1932
Messiaen1944a	Olivier Messiaen	Solo Piano	Regard de l’Esprit de joie		1944
Miller1980a	George Hubbard Miller	Voice and Piano	“Rumstikka Fumadiddle”		1980
Morris2007a	Alyssa Morris	Oboe and Piano	Four Personalities		2007
Mozart1772a	Wolfgang Amadeus Mozart	String Quartet	String Quartet in C Major	K. 157	1772
Mozart1774a	Wolfgang Amadeus Mozart	Piano Four-Hands	Sonata for piano four-hands in B-flat major	K. 358	1774
Mozart1778_	Wolfgang Amadeus Mozart	Violin and Piano	Violin Sonata No. 18 in G major	K. 301	1778
Mozart1778a	Wolfgang Amadeus Mozart	Violin and Piano	Violin Sonata No. 20 in C major	K. 303	1778
Mozart1778b	Wolfgang Amadeus Mozart	Violin and Piano	Violin Sonata No. 21 in E minor	K. 304	1778
Mozart1778c	Wolfgang Amadeus Mozart	Solo Piano	Piano Sonata No. 8 in A minor	K. 310	1778
Mozart1783a	Wolfgang Amadeus Mozart	Violin and Piano	Violin Sonata in F major	K. 377	1783
Mozart1783b	Wolfgang Amadeus Mozart	Violin and Viola	Duo in G major for Violin and Viola	K. 423	1783
Mozart1783c	Wolfgang Amadeus Mozart	Solo Piano	Piano Sonata No. 10 in C major	K. 330	1783
Mozart1783d	Wolfgang Amadeus Mozart	Solo Piano	Piano Sonata No. 12 in F major	K. 332	1783
Mozart1784a	Wolfgang Amadeus Mozart	Solo Piano	Piano Sonata No. 13 in B-flat major	K. 333	1784
Mozart1784b	Wolfgang Amadeus Mozart	Violin and Piano	Violin Sonata No. 32 in B-flat major	K. 454	1784
Mozart1785a	Wolfgang Amadeus Mozart	String Quartet	String Quartet No. 19 in C major (“Dissonant”)	K. 465	1785
Mozart1785b	Wolfgang Amadeus Mozart	Violin and Piano	Violin Sonata in E-flat major	K. 481	1785
Mozart1786a	Wolfgang Amadeus Mozart	Clarinet Trio	Kegelstatt Trio	K. 498	1786
Mozart1787a	Wolfgang Amadeus Mozart	Violin and Piano	Violin Sonata No. 35 in A major	K. 526	1787
Mozart1788a	Wolfgang Amadeus Mozart	Solo Piano	Piano Sonata No. 15 in F major	K. 533	1788
Mozart1788b	Wolfgang Amadeus Mozart	Piano Trio	Piano Trio in E major	K. 542	1788
Mozart1789a	Wolfgang Amadeus Mozart	Solo Piano	Piano Sonata No. 17 in B-flat major	K. 570	1789
Mumford2001a	Jeffrey Mumford	Solo Viola	Wending		2001
Musgrave2008a	Thea Musgrave	Oboe and Piano	Night Windows		2007
Mussorgsky1874a	Modest Mussorgsky	Solo Piano	Pictures At An Exhibition		1874
Nietzsche1862a	Friedrich Nietzsche	Viola and Piano	“Aus der Jugendzeit”		1862
Nietzsche1864a	Friedrich Nietzsche	Viola and Piano	“Es Winkt und Neigt Sich”		1864
Paganini1820a11	Niccolò Paganini	Violin and Piano	Caprice No. 11 in C major		1820
Pärt1992a	Arvo Pärt	Piano Trio	Mozart-Adagio (in memory of Oleg Kagan)		1992
Pejačević1913a	Dora Pejačević	Cello and Piano	Cello Sonata in E minor	Op. 35	1913
Pierné1887a	Gabriel Pierné	Cello and Piano	Caprice	Op. 16	1887
Poulenc1943a	Francis Poulenc	Violin and Piano	Violin Sonata	FP 119	1943
Poulenc1957a	Francis Poulenc	Flute and Piano	Flute Sonata	FP 164	1957
Poulenc1960a	Francis Poulenc	Voice and Piano	La Courte Paille (The short straw)	FP 178	1960
Poulenc1962a	Francis Poulenc	Clarinet and Piano	Clarinet Sonata	FP 184	1962
Prokofiev1917a	Sergei Prokofiev	Solo Piano	Piano Sonata No. 3 in A minor	Op. 28	1917
Prokofiev1918a	Sergei Prokofiev	Solo Piano	Tales of an Old Grandmother	Op. 31	1918
Prokofiev1935a	Sergei Prokofiev	Violin and Piano	Violin Concerto No. 2 in G minor	Op. 63	1935
Prokofiev1935a	Sergei Prokofiev	Violin and Piano	Violin Concerto No. 2 in G minor	Op. 63	1935
Prokofiev1940a	Sergei Prokofiev	Solo Piano	Piano Sonata No. 6 in A major	Op. 82	1940
Prokofiev1942a	Sergei Prokofiev	Solo Piano	Piano Sonata No. 7 in B-flat major	Op. 83	1942
Prokofiev1943a	Sergei Prokofiev	Violin and Piano	Violin Sonata in D major	Op. 94a	1944
Prokofiev1944a	Sergei Prokofiev	Solo Piano	Piano Sonata No. 8 in B-Flat Major	Op. 84	1944
Prokofiev1949a	Sergei Prokofiev	Cello and Piano	Cello Sonata in C major	Op. 119	1949
Rachmaninoff1903a	Sergei Rachmaninoff	Solo Piano	Ten Preludes	Op. 23	1903
Rachmaninoff1903b	Sergei Rachmaninoff	Solo Piano	Ten Preludes (selections)	Op. 23	1903
Rachmaninoff1910a	Sergei Rachmaninoff	Solo Piano	Thirteen Preludes	Op. 32	1910
Rachmaninoff1910b	Sergei Rachmaninoff	Solo Piano	Thirteen Preludes (selections)	Op. 32	1910
Rachmaninoff1911a	Sergei Rachmaninoff	Solo Piano	Études-Tableaux	Op. 33	1911
Rachmaninoff1911b	Sergei Rachmaninoff	Solo Piano	Études-Tableaux (selections)	Op. 33	1911
Rachmaninoff1913a	Sergei Rachmaninoff	Solo Piano	Piano Sonata No. 2	Op. 36	1913
Rachmaninoff1916a	Sergei Rachmaninoff	Solo Piano	Études-Tableaux	Op. 39	1916
Rachmaninoff1916b	Sergei Rachmaninoff	Solo Piano	Études-Tableaux (selections)	Op. 39	1916
Rachmaninoff1931a	Sergei Rachmaninoff	Solo Piano	Variations on a Theme of Corelli	Op. 42	1931
Rameau1727a	Jean-Philippe Rameau	Solo Piano	Suite in G major for harpsichord	RCT 6	1727
Rathaus1927a	Karol Rathaus	Solo Piano	Two pieces from the ballet “Der letzte Pierrot”		1927
Ravel1897a	Maurice Ravel	Violin and Piano	Sonata posthume for violin and piano	M. 12	1897
Ravel1901a	Maurice Ravel	Solo Piano	Jeux d’eau	M. 30	1901
Ravel1905a	Maurice Ravel	Solo Piano	Miroirs	M. 43	1905
Ravel1905b	Maurice Ravel	Solo Piano	Sonatine	M. 40	1905
Ravel1908a	Maurice Ravel	Solo Piano	Gaspard de la nuit	M. 55	1908
Ravel1910a	Maurice Ravel	Piano Four-Hands	Ma mère l’Oye	M. 60	1910
Ravel1911a	Maurice Ravel	Solo Piano	Valses Nobles et Sentimentales	M. 61	1911
Ravel1914a	Maurice Ravel	Violin and Piano	Deux mélodies hébraiques		1914
Ravel1914b	Maurice Ravel	Piano Trio	Piano Trio	M. 67	1914
Ravel1917a	Maurice Ravel	Solo Piano	Le tombeau de Couperin	M. 68	1917
Ravel1917b	Maurice Ravel	Piano Four-Hands	Le tombeau de Couperin (transcription by L. Garban)	M. 68	1917
Ravel1917c	Maurice Ravel	Violin and Piano	Le tombeau de Couperin (arr. S. Tekalli)	M. 68	1917
Ravel1920a	Maurice Ravel	Solo Piano	La Valse	M. 72b	1920
Ravel1920b	Maurice Ravel	Piano Trio	La Valse (arr. Merz Trio)	M. 72b	1920
Ravel1922a	Maurice Ravel	Violin and Cello	Sonata for violin and cello	M. 73	1922
Ravel1924a	Maurice Ravel	Violin and Piano	Tzigane	M. 76	1924
Ravel1927a	Maurice Ravel	Violin and Piano	Violin Sonata in G major	M. 77	1927
Ritter1886a	Hermann Ritter	Viola and Piano	Concert-Phantasie No. 1 for Viola Alta and Piano	Op. 35	1886
Rogerson2009a	Chris Rogerson	Violin and Piano	Lullaby: No Bad Dreams		2009
Saariaho2012a	Kaija Saariaho	Solo Clarinet	Duft	Op. 22	2012
Saint-Saëns1874a	Camille Saint-Saëns	Piano Four-Hands	Danse Macabre	Op. 40	1874
Saint-Saëns1877a	Camille Saint-Saëns	Violin and Piano	Danse macabre	Op. 40	1877
